index,municipio,coduf,codmun,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao,ano
118343,Abaiara,23,230010,2020-03-27,11737.0,0.0,0,0,0,Cariri,2020
118344,Abaiara,23,230010,2020-03-28,11737.0,0.0,0,0,0,Cariri,2020
118345,Abaiara,23,230010,2020-03-29,11737.0,0.0,0,0,0,Cariri,2020
118346,Abaiara,23,230010,2020-03-30,11737.0,0.0,0,0,0,Cariri,2020
118347,Abaiara,23,230010,2020-03-31,11737.0,0.0,0,0,0,Cariri,2020
118348,Abaiara,23,230010,2020-04-01,11737.0,0.0,0,0,0,Cariri,2020
118349,Abaiara,23,230010,2020-04-02,11737.0,0.0,0,0,0,Cariri,2020
118350,Abaiara,23,230010,2020-04-03,11737.0,0.0,0,0,0,Cariri,2020
118351,Abaiara,23,230010,2020-04-04,11737.0,1.0,1,0,0,Cariri,2020
118352,Abaiara,23,230010,2020-04-05,11737.0,0.0,-1,0,0,Cariri,2020
118353,Abaiara,23,230010,2020-04-06,11737.0,0.0,0,0,0,Cariri,2020
118354,Abaiara,23,230010,2020-04-07,11737.0,0.0,0,0,0,Cariri,2020
118355,Abaiara,23,230010,2020-04-08,11737.0,0.0,0,0,0,Cariri,2020
118356,Abaiara,23,230010,2020-04-09,11737.0,0.0,0,0,0,Cariri,2020
118357,Abaiara,23,230010,2020-04-10,11737.0,0.0,0,0,0,Cariri,2020
118358,Abaiara,23,230010,2020-04-11,11737.0,0.0,0,0,0,Cariri,2020
118359,Abaiara,23,230010,2020-04-12,11737.0,0.0,0,0,0,Cariri,2020
118360,Abaiara,23,230010,2020-04-13,11737.0,0.0,0,0,0,Cariri,2020
118361,Abaiara,23,230010,2020-04-14,11737.0,0.0,0,0,0,Cariri,2020
118362,Abaiara,23,230010,2020-04-15,11737.0,0.0,0,0,0,Cariri,2020
118363,Abaiara,23,230010,2020-04-16,11737.0,0.0,0,0,0,Cariri,2020
