codmun,municipio,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao
230010,Abaiara,3286360.0,15909.0,160,468,4,Cariri
230015,Acarape,4180120.0,299547.0,1949,3019,14,Maciço de Baturité
230020,Acaraú,17539480.0,513339.0,2760,11285,58,Litoral Norte
230030,Acopiara,15195600.0,173778.0,1366,7238,57,Centro-Sul
230040,Aiuaba,4871720.0,7907.0,76,193,1,Sertão dos Inhamus
230050,Alcântaras,3279920.0,93543.0,583,745,4,Sertão de Sobral
230060,Altaneira,2124080.0,13849.0,236,266,6,Cariri
230070,Alto Santo,4800880.0,71380.0,523,1795,13,Vale do Jaguaribe
230075,Amontada,12166560.0,164152.0,999,3835,20,Litoral Oeste
230080,Antonina do Norte,2058840.0,7796.0,78,60,2,Cariri
230090,Apuiarés,4088000.0,44295.0,263,2344,11,Litoral Oeste
230100,Aquiraz,22475880.0,209635.0,1406,6688,40,Região Metropolitana
230110,Aracati,20873160.0,326777.0,2290,10231,58,Litoral Leste
230120,Aracoiaba,7411320.0,148994.0,890,2639,16,Maciço de Baturité
230125,Ararendá,3061800.0,28028.0,408,672,9,Sertao dos Crateús
230130,Araripe,6048000.0,39767.0,308,509,5,Cariri
230140,Aratuba,3317160.0,43143.0,268,336,2,Maciço de Baturité
230150,Arneiroz,2195200.0,10830.0,71,624,6,Sertão dos Inhamus
230160,Assaré,6556760.0,76107.0,917,1468,12,Cariri
230170,Aurora,6903120.0,76669.0,868,2855,23,Cariri
230180,Baixio,1760640.0,15688.0,126,310,3,Centro-Sul
230185,Banabuiú,5095160.0,101151.0,648,659,4,Sertão Central
230190,Barbalha,17018680.0,321496.0,2414,8832,58,Cariri
230195,Barreira,6279000.0,65934.0,374,3956,21,Maciço de Baturité
230200,Barro,6350400.0,46228.0,485,1684,10,Cariri
230205,Barroquinha,4204760.0,149181.0,820,3442,20,Litoral Norte
230210,Baturité,10010000.0,114540.0,752,6133,33,Maciço de Baturité
230220,Beberibe,15000440.0,160725.0,1208,6035,31,Litoral Leste
230230,Bela Cruz,9125480.0,241038.0,1335,4292,24,Litoral Norte
230240,Boa Viagem,15251600.0,176652.0,1574,5347,39,Sertão de Canidé
230250,Brejo Santo,13853560.0,285782.0,3000,3913,27,Cariri
230260,Camocim,17825080.0,456140.0,2544,15640,81,Litoral Norte
230270,Campos Sales,7679280.0,81317.0,721,1300,9,Cariri
230280,Canindé,21559160.0,383489.0,2233,13751,80,Sertão de Canidé
230290,Capistrano,4966640.0,130242.0,752,2743,17,Maciço de Baturité
230300,Caridade,6313160.0,63101.0,371,3323,17,Sertão de Canidé
230320,Caririaçu,7550200.0,120017.0,817,2644,19,Cariri
230310,Cariré,5165440.0,148573.0,1080,3213,21,Sertão de Sobral
230330,Cariús,5235720.0,85447.0,646,1582,11,Centro-Sul
230340,Carnaubal,4929680.0,98735.0,714,978,6,Serra da Ibiapaba
230350,Cascavel,20088040.0,308317.0,1936,17485,90,Região Metropolitana
230360,Catarina,5795440.0,41196.0,359,839,6,Centro-Sul
230365,Catunda,2895760.0,60210.0,414,904,7,Sertao dos Crateús
230370,Caucaia,101192000.0,1189033.0,7344,70431,368,Região Metropolitana
230380,Cedro,7155960.0,85116.0,768,2069,14,Centro-Sul
230390,Chaval,3659320.0,146810.0,825,2518,14,Litoral Norte
230395,Chorozinho,5673920.0,110927.0,739,3335,18,Região Metropolitana
230393,Choró,3785880.0,63425.0,356,1209,7,Sertão Central
230400,Coreaú,6478080.0,227973.0,1349,2905,19,Sertão de Sobral
230410,Crateús,21020720.0,813768.0,6727,13967,103,Sertao dos Crateús
230420,Crato,36994440.0,1080088.0,8514,14844,110,Cariri
230423,Croatá,5057640.0,46835.0,422,639,5,Serra da Ibiapaba
230425,Cruz,6951560.0,170909.0,1073,2562,14,Litoral Norte
230426,Deputado Irapuan Pinheiro,2695000.0,31339.0,319,452,4,Sertão Central
230427,Ereré,2015440.0,47202.0,470,1064,7,Vale do Jaguaribe
230428,Eusébio,15013040.0,400723.0,2674,12400,66,Região Metropolitana
230430,Farias Brito,5446000.0,179245.0,1296,2950,21,Cariri
230435,Forquilha,6781040.0,129200.0,779,4837,30,Sertão de Sobral
230440,Fortaleza,747415760.0,11322573.0,81893,832322,4153,Região Metropolitana
230445,Fortim,4614400.0,30289.0,186,271,3,Litoral Leste
230450,Frecheirinha,3940160.0,234135.0,1565,2611,10,Sertão de Sobral
230460,General Sampaio,2133040.0,27189.0,156,1211,6,Litoral Oeste
230470,Granja,15329440.0,229559.0,1326,7901,43,Litoral Norte
230480,Granjeiro,1356320.0,20340.0,197,214,2,Cariri
