regiao,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Cariri,180612960.0,11310309.0,52497,210197,1039
Centro-Sul,69428656.0,4047902.0,22908,85988,402
Litoral Leste,36267616.0,2151036.0,16010,42174,255
Litoral Norte,70956864.0,4201700.0,20065,85708,375
Litoral Oeste,70498736.0,3205405.0,19460,95076,421
Maciço de Baturité,43277520.0,2887543.0,20537,50675,235
Região Metropolitana,722699120.0,42621412.0,242739,1490353,6838
Serra da Ibiapaba,63853152.0,3659335.0,16194,70920,306
Sertao dos Crateús,62079600.0,4220039.0,22369,69552,394
Sertão Central,69875520.0,3803395.0,22681,87871,428
Sertão de Canidé,36533728.0,1677176.0,9072,48808,239
Sertão de Sobral,87562640.0,7067420.0,30760,155604,703
Sertão dos Inhamus,24059728.0,1376954.0,7751,30635,178
Vale do Jaguaribe,69539888.0,5543770.0,33210,90376,549
