IBGE;IBGE7;Município
230010;2300101;Abaiara
230015;2300150;Acarapé
230020;2300200;Acaraú
230030;2300309;Acopiara
230040;2300408;Aiuaba
230050;2300507;Alcântaras
230060;2300606;Altaneira
230070;2300705;Alto Santo
230075;2300754;Amontada
230080;2300804;Antonina do Norte
230090;2300903;Apuiarés
230100;2301000;Aquiraz
230110;2301109;Aracati
230120;2301208;Aracoiaba
230125;2301257;Ararendá
230130;2301307;Araripe
230140;2301406;Aratuba
230150;2301505;Arneiroz
230160;2301604;Assaré
230170;2301703;Aurora
230180;2301802;Baixio
230185;2301851;Banabuiú
230190;2301901;Barbalha
230195;2301950;Barreira
230200;2302008;Barro
230205;2302057;Barroquinha
230210;2302107;Baturité
230220;2302206;Beberibe
230230;2302305;Bela Cruz
230240;2302404;Boa Viagem
230250;2302503;Brejo Santo
230260;2302602;Camocim
230270;2302701;Campos Sales
230280;2302800;Canindé
230290;2302909;Capistrano
230300;2303006;Caridade
230310;2303105;Cariré
230320;2303204;Caririaçu
230330;2303303;Cariús
230340;2303402;Carnaubal
230350;2303501;Cascavel
230360;2303600;Catarina
230365;2303659;Catunda
230370;2303709;Caucaia
230380;2303808;Cedro
230390;2303907;Chaval
230393;2303931;Choró
230395;2303956;Chorozinho
230400;2304004;Coreaú
230410;2304103;Crateús
230420;2304202;Crato
230423;2304236;Croatá
230425;2304251;Cruz
230426;2304269;Deputado Irapuan Pinheiro
230427;2304277;Ererê
230428;2304285;Eusébio
230430;2304301;Farias Brito
230435;2304350;Forquilha
230440;2304400;Fortaleza
230445;2304459;Fortim
230450;2304509;Frecheirinha
230460;2304608;General Sampaio
230465;2304657;Graça
230470;2304707;Granja
230480;2304806;Granjeiro
230490;2304905;Groaíras
230495;2304954;Guaiúba
230500;2305001;Guaraciaba do Norte
230510;2305100;Guaramiranga
230520;2305209;Hidrolândia
230523;2305233;Horizonte
230526;2305266;Ibaretama
230530;2305308;Ibiapina
230533;2305332;Ibicuitinga
230535;2305357;Icapuí
230540;2305407;Icó
230550;2305506;Iguatu
230560;2305605;Independência
230565;2305654;Ipaporanga
230570;2305704;Ipaumirim
230580;2305803;Ipu
230590;2305902;Ipueiras
230600;2306009;Iracema
230610;2306108;Irauçuba
230620;2306207;Itaiçaba
230625;2306256;Itaitinga
230630;2306306;Itapagé
230640;2306405;Itapipoca
230650;2306504;Itapiúna
230655;2306553;Itarema
230660;2306603;Itatira
230670;2306702;Jaguaretama
230680;2306801;Jaguaribara
230690;2306900;Jaguaribe
230700;2307007;Jaguaruana
230710;2307106;Jardim
230720;2307205;Jati
230725;2307254;Jijoca de Jericoacoara
230730;2307304;Juazeiro do Norte
230740;2307403;Jucás
230750;2307502;Lavras da Mangabeira
230760;2307601;Limoeiro do Norte
230763;2307635;Madalena
230765;2307650;Maracanaú
230770;2307700;Maranguape
230780;2307809;Marco
230790;2307908;Martinópole
230800;2308005;Massapê
230810;2308104;Mauriti
230820;2308203;Meruoca
230830;2308302;Milagres
230835;2308351;Milhã
230837;2308377;Miraíma
230840;2308401;Missão Velha
230850;2308500;Mombaça
230860;2308609;Monsenhor Tabosa
230870;2308708;Morada Nova
230880;2308807;Moraújo
230890;2308906;Morrinhos
230900;2309003;Mucambo
230910;2309102;Mulungu
230920;2309201;Nova Olinda
230930;2309300;Nova Russas
230940;2309409;Novo Oriente
230945;2309458;Ocara
230950;2309508;Orós
230960;2309607;Pacajus
230970;2309706;Pacatuba
230980;2309805;Pacoti
230990;2309904;Pacujá
231000;2310001;Palhano
231010;2310100;Palmácia
231020;2310209;Paracuru
231025;2310258;Paraipaba
231030;2310308;Parambu
231040;2310407;Paramoti
231050;2310506;Pedra Branca
231060;2310605;Penaforte
231070;2310704;Pentecoste
231080;2310803;Pereiro
231085;2310852;Pindoretama
231090;2310902;Piquet Carneiro
231095;2310951;Pires Ferreira
231100;2311009;Poranga
231110;2311108;Porteiras
231120;2311207;Potengi
231123;2311231;Potiretama
231126;2311264;Quiterianópolis
231130;2311306;Quixadá
231135;2311355;Quixelô
231140;2311405;Quixeramobim
231150;2311504;Quixeré
231160;2311603;Redenção
231170;2311702;Reriutaba
231180;2311801;Russas
231190;2311900;Saboeiro
231195;2311959;Salitre
231200;2312007;Santana do Acaraú
231210;2312106;Santana do Cariri
231220;2312205;Santa Quitéria
231230;2312304;São Benedito
231240;2312403;São Gonçalo do Amarante
231250;2312502;São João do Jaguaribe
231260;2312601;São Luís do Curu
231270;2312700;Senador Pompeu
231280;2312809;Senador sá
231290;2312908;Sobral
231300;2313005;Solonópole
231310;2313104;Tabuleiro do Norte
231320;2313203;Tamboril
231325;2313252;Tarrafas
231330;2313302;Tauá
231335;2313351;Tejuçuoca
231340;2313401;Tianguá
231350;2313500;Trairi
231355;2313559;Tururu
231360;2313609;Ubajara
231370;2313708;Umari
231375;2313757;Umirim
231380;2313807;Uruburetama
231390;2313906;Uruoca
231395;2313955;Varjota
231400;2314003;Várzea Alegre
231410;2314102;Viçosa do Ceará
